Page,Câu tiếng Hán,volumn,translation,best_match
47,煎服。,Volume_33,Sắc uống.,Sắc uống.
48,煎服。,Volume_33,Sắc uống.,Sắc uống.
49,煎服。,Volume_33,Sắc uống.,Sắc uống.
53,煎服。,Volume_33,Sắc uống.,Sắc uống.
56,煎服。,Volume_33,Sắc uống.,Sắc uống.
62,煎服。,Volume_33,Sắc uống.,Sắc uống.
63,煎服。,Volume_33,Sắc uống.,Sắc uống.
75,煎服。,Volume_33,Sắc uống.,Sắc uống.
55,水煎服。,Volume_33,Sắc uống.,Sắc uống.
65,水煎服。,Volume_33,Sắc uống.,Sắc uống.
73,水煎服。,Volume_33,Sắc uống.,Sắc uống.
73,水煎服。,Volume_33,Sắc uống.,Sắc uống.
77,水煎服。,Volume_33,Sắc uống.,Sắc uống.
77,水煎服。,Volume_33,Sắc uống.,Sắc uống.
11,鎮驚安神：天麻、茯神、遠志、棗仁、薊藤、菖蒲、丹參、麥冬、當歸、芍藥、硃砂、珍珠、燈花、童腦、金箔、童齒、麝香、袨香、安息香、茲合香、乳香、琥珀、代赭石。,Volume_30,"Trấn kinh an thần: Thiên ma, Phục thần, Viễn chí, Táo nhân, Kế đằng, Xương bồ, Đan sâm, Mạch đông, Đương quy, Thược dược, Chu sa, Trân châu, Đăng hoa, Đồng não, Kim bạc, Đồng xỉ, Xạ hương, Huyên hương, An tức hương, Tư hợp hương, Nhũ hương, Hổ phách, Đại giả thạch.","- Trấn kinh an thần, Thiên ma, Phục thần, Viễn chỉ, Táo nhân, Câu đằng, Xương bồ, Đơn sâm, Mạch môn, Dương quy, Thược dược, Chu sa, Trân châu, Hoa đèn, Long não, Vàng thếp, Long xỉ, Xạ hương, Đàn hương, An tức hương, Tô hợp hương, Hổ phách, Đại giả thạch."
